PSMA2P3	chr2	203044020	203044694	675	302
PSMA2P1	chr11	87040449	87041094	646	263
CPHL1P	chr3	148947143	148994451	47309	18383
TCOF1	chr5	149737202	149779870	42669	22380
NSRP1	chr17	28443799	28513493	69695	26751
SPPL3	chr12	121200313	121342174	141862	57998
OPA3	chr19	46030685	46105470	74786	37228
OPA1	chr3	193310933	193415612	104680	38715
ITGA8	chr10	15555948	15762124	206177	82507
ITGA9	chr3	37493606	37865005	371400	165786
ITGA1	chr5	52083730	52252327	168598	62006
ITGA2	chr5	52285156	52390609	105454	40086
ITGA3	chr17	48133332	48167848	34517	18172
ITGA4	chr2	182321619	182400914	79296	28693
ITGA5	chr12	54789045	54813244	24200	12729
ITGA6	chr2	173292082	173371181	79100	33051
ITGA7	chr12	56078352	56109827	31476	16219
TRHR	chr8	110098850	110131813	32964	12503
CA15P1	chr22	19019077	19022077	3001	1853
CA15P2	chr22	20486312	20488882	2571	1597
UFSP1	chr7	100486346	100487339	994	665
UFSP2	chr4	186320694	186347139	26446	10161
C9orf40	chr9	77561497	77567802	6306	2693
TEX28P2	chrX	153424682	153445634	20953	10408
TEX28P1	chrX	153461812	153482755	20944	10404
FAM212B	chr1	112223252	112298446	75195	33054
FAM212A	chr3	49840687	49842463	1777	1148
CHST9	chr18	24495597	24765289	269693	103381
CHST8	chr19	34112861	34264413	151553	76749
CHST1	chr11	45670427	45687172	16746	9542
TTTY25P	chrY	24476599	24478647	2049	1044
CHST3	chr10	73724123	73773322	49200	25283
CHST2	chr3	142838173	142841800	3628	2347
CHST5	chr16	75562433	75569145	6713	3672
CHST4	chr16	71560036	71574146	14111	6498
CHST7	chrX	46433219	46457843	24625	11028
CHST6	chr16	75510949	75529282	18334	9240
ITGAX	chr16	31366455	31394318	27864	14545
RPS4XP3	chr20	55176757	55177169	413	186
BCL2A1	chr15	80253231	80263788	10558	4061
ITGAV	chr2	187454790	187545628	90839	32500
ITGAL	chr16	30483979	30534289	50311	25371
ITGAM	chr16	31271311	31344190	72880	31607
ITGAD	chr16	31404597	31437826	33230	17206
ITGAE	chr17	3617920	3704537	86618	44074
ATP1B3-AS1	chr3	141637094	141637863	770	332
IGF2R	chr6	160390131	160534539	144409	65781
SLC36A4	chr11	92877341	92931130	53790	18868
SLC36A3	chr5	150656323	150683327	27005	11579
CKS1B	chr1	154947129	154951725	4597	2041
SLC36A1	chr5	150816607	150871942	55336	23639
ARTN	chr1	44398992	44402913	3922	2501
ART1	chr11	3666358	3685646	19289	9507
ART3	chr4	76932337	77033955	101619	40439
ART5	chr11	3659733	3663546	3814	2162
ART4	chr12	14978503	14996429	17927	6840
CRTAM	chr11	122709208	122743347	34140	13985
DPYD-IT1	chr1	97859710	97885697	25988	9310
CADPS2	chr7	121958481	122526813	568333	207752
RLF	chr1	40627045	40706593	79549	31574
USP17L30	chr4	9364855	9366447	1593	834
CRTAP	chr3	33155471	33185153	29683	12974
RNU6-16	chr11	88345973	88346079	107	46
RNU6-17	chr15	30546605	30546711	107	48
RNU6-14	chr9	15776179	15776284	106	49
RNU6-15	chr10	21610890	21610996	107	47
RNU6-12	chr8	119988752	119988858	107	48
RNU6-13	chr8	57829643	57829749	107	48
RNU6-10	chr7	92331022	92331128	107	48
RNU6-11	chr7	123430659	123430765	107	49
CPEB4	chr5	173315283	173388979	73697	27498
CPEB1	chr15	83211951	83317612	105662	44970
CPEB3	chr10	93808399	94050844	242446	99106
CPEB2	chr4	15004298	15071777	67480	23597
SRBD1	chr2	45615819	45839304	223486	81687
ABAT	chr16	8768422	8878432	110011	52095
POU5F1B	chr8	128426535	128432311	5777	2556
CDH22	chr20	44802372	44937137	134766	68969
PHOX2A	chr11	71950121	71956708	6588	4037
OR4A44P	chr11	48649098	48650045	948	388
PHOX2B	chr4	41746099	41750987	4889	2547
NLRP14	chr11	7041677	7092539	50863	18984
UPK2	chr11	118795873	118829269	33397	17285
CFH	chr1	196621008	196716634	95627	33661
CFI	chr4	110661852	110723335	61484	23361
ANKFY1	chr17	4066665	4167274	100610	45167
CFB	chr6	31895475	31919861	24387	12681
TPT1-AS1	chr13	45915480	45965872	50393	24739
CFP	chrX	47483612	47489704	6093	3380
RNU5B-1	chr15	65597015	65597130	116	46
AAAS	chr12	53701240	53718648	17409	8599
SIDT1	chr3	113251143	113348425	97283	39683
SIDT2	chr11	117049449	117068160	18712	10474
SAGE1	chrX	134971374	134995220	23847	9941
AAGAB	chr15	67493371	67547533	54163	21387
C4orf19	chr4	37455563	37625117	169555	69524
SLC7A6OS	chr16	68318406	68344849	26444	12479
C4orf17	chr4	100432161	100463460	31300	11765
CDH26	chr20	58533471	58609066	75596	32145
EIF3EP2	chr2	162944769	162946582	1814	739
EIF3EP1	chr6	74001685	74003000	1316	526
EFHA1	chr13	22066836	22178353	111518	42712
IGLVI-38	chr22	22780158	22780651	494	272
EFHA2	chr8	16884747	16980153	95407	34321
NBEAP1	chr15	20862967	20893737	30771	9660
NBEAP3	chr22	16100517	16124973	24457	8478
ABCE1	chr4	146019084	146050331	31248	10961
GCFC1-AS1	chr21	34100426	34115433	15008	5944
TEN1-CDK3	chr17	73975312	74002080	26769	13644
ZNF197-AS1	chr3	44658620	44666289	7670	3263
MSL3P1	chr2	234774083	234777090	3008	1426
NCBP2-AS1	chr3	196666748	196669405	2658	1341
MDC1-AS1	chr6	30670844	30680961	10118	5148
MTND4LP1	chrX	125606711	125606867	157	72
C15orf26	chr15	81299374	81441516	142143	59206
C15orf27	chr15	76352178	76521462	169285	81211
C15orf23	chr15	40674922	40686446	11525	5181
MRPS31P4	chr13	53191693	53211581	19889	7715
ZNF117	chr7	64437285	64467062	29778	12129
ZNF114	chr19	48774654	48790863	16210	7960
SEZ6L	chr22	26565440	26779562	214123	95421
PRKAR2A	chr3	48782030	48885279	103250	44822
PRKAR2B	chr7	106685094	106802256	117163	45263
MAGT1	chrX	77081861	77151090	69230	28339
TMEM200B	chr1	29445940	29450447	4508	2914
ITGA2B	chr17	42449550	42466873	17324	9499
FAM58DP	chr13	19956348	19957525	1178	736
ZMYM2-IT1	chr13	20651665	20653696	2032	756
PHACTR4	chr1	28696114	28826881	130768	56065
PHACTR1	chr6	12717893	13288645	570753	235067
OR2K2	chr9	114089763	114090800	1038	452
PHACTR3	chr20	58152564	58422766	270203	128702
PHACTR2	chr6	143857982	144152322	294341	117789
KRTAP2-3	chr17	39215495	39216344	850	475
KRTAP2-2	chr17	39210750	39211482	733	461
KRTAP2-1	chr17	39202793	39203568	776	486
KRTAP2-4	chr17	39221369	39222131	763	437
ZNF736P3Y	chrY	25195394	25197342	1949	714
OR4F14P	chr15	102368944	102369882	939	435
SBF1P1	chr8	56362069	56367699	5631	3418
VMP1	chr17	57784863	57917950	133088	52910
PPIAP9	chr6	31487257	31488068	812	398
PPIAP6	chr14	68888415	68888913	499	237
PPIAP7	chr1	101736436	101736919	484	218
PPIAP1	chr21	22200445	22200940	496	231
PPIAP2	chr20	25348911	25349402	492	236
PPIAP3	chr20	36158441	36158945	505	242
NR1D1	chr17	38249040	38256978	7939	4508
NR1D2	chr3	23986751	24021237	34487	14107
OGFR	chr20	61436187	61445352	9166	5816
RPS26P43	chr11	122920495	122921061	567	279
RPS26P47	chr13	101192089	101192528	440	225
RPS26P49	chr14	105297175	105297508	334	163
FAM90A10P	chr8	7626499	7629510	3012	1770
PTCH2	chr1	45285516	45308735	23220	12338
PTCH1	chr9	98205262	98279339	74078	35177
AOAH-IT1	chr7	36637440	36639726	2287	968
TIMM44	chr19	7991604	8008708	17105	9645
RAD9B	chr12	110939460	110969891	30432	12973
RAD9A	chr11	67159176	67165881	6706	3996
ERGIC2	chr12	29490285	29534122	43838	14923
ERGIC3	chr20	34129770	34145405	15636	7954
VN2R10P	chr16	77254303	77255155	853	414
ERGIC1	chr5	172261278	172379688	118411	60288
B3GAT3	chr11	62382768	62389647	6880	3712
B3GAT2	chr6	71566382	71666741	100360	40037
B3GAT1	chr11	134248398	134281812	33415	18595
CALM2	chr2	47272677	47403740	131064	60421
CALM3	chr19	47104566	47114039	9474	5398
SPG21	chr15	65255362	65282648	27287	12021
SPG20	chr13	36875775	36944317	68543	26757
GSDMA	chr17	38119226	38134019	14794	7462
GSDMB	chr17	38060848	38077313	16466	8108
GSDMC	chr8	130760442	130799134	38693	15214
GSDMD	chr8	144635377	144645232	9856	6125
UPK1A	chr19	36157715	36169367	11653	6112
UPK1B	chr3	118892364	118924000	31637	13247
DLGAP2	chr8	1449531	1656642	207112	97974
DLGAP3	chr1	35331037	35395186	64150	31169
DLGAP1	chr18	3496030	4151290	655261	267509
DLGAP4	chr20	34894258	35157040	262783	108382
DLGAP5	chr14	55614830	55658396	43567	17040
FBXL14	chr12	1675159	1703331	28173	13009
OIP5	chr15	41601466	41624819	23354	10617
GCSAML-AS1	chr1	247687981	247690054	2074	835
FAM169A	chr5	74073399	74162776	89378	34565
MIR506	chrX	146312238	146312361	124	52
PTPN18	chr2	131113580	131132982	19403	9245
LRRFIP2	chr3	37094117	37225180	131064	50587
PTPN13	chr4	87515468	87736324	220857	79851
PTPN12	chr7	77166592	77269388	102797	39223
PTPN11	chr12	112856155	112947717	91563	39522
RPL32P35	chrX	127972420	127972812	393	157
RPL32P33	chr17	70623370	70623766	397	192
PTPN14	chr1	214530851	214725792	194942	80435
LYAR	chr4	4269428	4291896	22469	9889
C2orf81	chr2	74641304	74648718	7415	3942
C2orf80	chr2	209030067	209054797	24731	10273
C2orf83	chr2	228474806	228498036	23231	10032
C2orf82	chr2	233721980	233743418	21439	10799
SNORA84	chr9	95054743	95054875	133	74
C2orf88	chr2	190744335	191068210	323876	121291
TRAPPC6A	chr19	45666187	45681485	15299	8699
MZB1	chr5	138723169	138725770	2602	1519
TRAPPC6B	chr14	39617015	39639736	22722	9265
HLA-DQB1	chr6	32627244	32636160	8917	4047
MSMB	chr10	51549498	51562517	13020	5865
HLA-DQB3	chr6	32698535	32699472	938	457
HLA-DQB2	chr6	32723875	32731311	7437	3524
LINC00152	chr2	87754887	87906324	151438	67862
CDK7	chr5	68530668	68573250	42583	17220
FOXS1	chr20	30432103	30433420	1318	846
HAPLN4	chr19	19366456	19373596	7141	4245
ZFP161	chr18	5289018	5296039	7022	3234
CHORDC2P	chr14	90202337	90204735	2399	935
RPL23AP23	chr1	235459180	235459648	469	226
CAMKK2	chr12	121675497	121736111	60615	30809
CAMKK1	chr17	3763609	3796338	32730	18655
PPP1R1AP2	chr16	35146491	35146887	397	220
PPP1R1AP1	chr11	75622248	75622672	425	235
CHMP3	chr2	86730554	86948245	217692	87118
RPL36AL	chr14	50085237	50087403	2167	988
CHMP7	chr8	23101150	23119512	18363	8581
CHMP6	chr17	78965641	78973932	8292	5236
CHMP5	chr9	33264940	33281977	17038	7076
OR52N4	chr11	5775923	5776959	1037	478
OR52N5	chr11	5798864	5799897	1034	453
OR52N2	chr11	5841544	5842578	1035	498
OR52N1	chr11	5809084	5810046	963	448
NCLP2	chrX	134209166	134210627	1462	589
LY6G6C	chr6	31686425	31689622	3198	1693
HOXA13	chr7	27233122	27239725	6604	2997
LY6G6E	chr6	31679548	31681842	2295	1274
HOXA11	chr7	27221129	27224842	3714	2051
HOXA10	chr7	27210210	27219880	9671	5183
LIPT1P1	chr13	102654475	102655660	1186	435
COX4I1P1	chr14	62298632	62299087	456	247
COX4I1P2	chr13	46245980	46246526	547	268
GALNTL5	chr7	151653464	151717019	63556	26935
GALNTL4	chr11	11292423	11643552	351130	162736
GALNTL6	chr4	172733405	173962710	1229306	449061
GALNTL1	chr14	69725994	69821183	95190	46157
GALNTL2	chr3	16216156	16273499	57344	26171
TDH	chr8	11197146	11225961	28816	12700
KRTAP11-1	chr21	32252966	32253874	909	485
TDG	chr12	104359582	104382652	23071	9379
HN1	chr17	73131343	73150778	19436	9048
LRRC27	chr10	134145614	134195010	49397	25529
LRRC26	chr9	140063210	140064503	1294	965
LRRC25	chr19	18501955	18508415	6461	3540
LRRC24	chr8	145747788	145752416	4629	2919
LRRC23	chr12	6982733	7023407	40675	19258
MPDU1	chr17	7486974	7496107	9134	5132
LRRC20	chr10	72058729	72142382	83654	41322
LRRC29	chr16	67241042	67260951	19910	10643
LRRC28	chr15	99791567	99930934	139368	53123
GCNT4	chr5	74323289	74326724	3436	1326
GCNT7	chr20	55066548	55100981	34434	15502
GCNT6	chr6	10633993	10647501	13509	5467
GCNT1	chr9	79034752	79122332	87581	37512
GCNT3	chr15	59887074	59932438	45365	19629
GCNT2	chr6	10492456	10629601	137146	59670
LPCAT4	chr15	34651106	34659479	8374	4418
