#hg18.knownGene.name	hg18.knownGene.chrom	hg18.knownGene.strand	hg18.knownGene.txStart	hg18.knownGene.txEnd	hg18.kgXref.geneSymbol
uc001aaa.2	chr1	+	1115	4121	BC032353
uc009vip.1	chr1	+	1115	4272	AX748260
uc009vis.1	chr1	-	4268	6628	DKFZp434K1323
uc001aag.1	chr1	-	5658	7231	DKFZp686C24272
uc009vjc.1	chr1	-	6720	7614	DKFZp434K1323
uc009vjd.1	chr1	-	6720	7924	DKFZp434K1323
uc009vit.1	chr1	-	4268	9622	DKFZp434K1323
uc009viu.1	chr1	-	4268	9622	DKFZp434K1323
uc001aae.2	chr1	-	4268	9622	DKFZp434K1323
uc001aai.1	chr1	-	6720	9622	DKFZp434K1323
uc001aab.2	chr1	-	4268	14764	DKFZp434K1323
uc009viq.1	chr1	-	4268	19221	FLJ00038
uc009vir.1	chr1	-	4268	19221	FLJ00038
uc001aac.2	chr1	-	4268	19221	FLJ00038
uc009viv.1	chr1	-	4269	19221	FLJ00038
uc009viw.1	chr1	-	4269	19221	FLJ00038
uc009vix.1	chr1	-	5465	19221	FLJ00038
uc009viy.1	chr1	-	6469	19221	FLJ00038
uc009viz.1	chr1	-	6469	19221	FLJ00038
uc001aah.2	chr1	-	6720	19221	FLJ00038
uc009vja.1	chr1	-	6720	19221	FLJ00038
uc009vje.1	chr1	-	7095	19221	FLJ00038
uc009vjf.1	chr1	-	7468	19221	FLJ00038
uc001aaf.1	chr1	-	4832	19672	DKFZp434K1323
uc009vjb.1	chr1	-	6720	19824	DKFZp434K1323
uc009vjg.1	chr1	+	19417	20957	BC048429
uc001aak.1	chr1	-	24475	25940	F379
uc009vjh.1	chr1	+	55424	59692	OR4F5
uc001aal.1	chr1	+	58953	59871	OR4F5
uc009vjj.1	chr1	-	124779	126351	AK311604
uc001aam.2	chr1	-	127586	128558	DQ580039
uc001aap.1	chr1	-	129367	129428	DQ600587
uc001aaq.1	chr1	+	310946	310977	DQ599874
uc001aar.1	chr1	+	311008	311086	DQ599768
uc001aas.1	chr1	+	314322	314353	DQ574670
uc001aat.1	chr1	+	314353	314385	DQ596298
uc001aau.1	chr1	+	314432	314501	DQ599768
uc009vjk.1	chr1	+	314900	316274	DQ575955
uc001aav.2	chr1	+	317408	318316	DQ574721
uc001aaw.1	chr1	+	357521	358460	OR4F16
uc001aax.1	chr1	+	410068	411702	BC036251
uc001aay.1	chr1	-	552622	554252	BC036251
uc009vjl.1	chr1	+	554901	555924	AK026901
uc001aaz.1	chr1	+	556324	557910	BC018860
uc001aba.1	chr1	+	558011	558705	X64709
uc001abb.1	chr1	+	558706	558776	M37726
uc001abc.1	chr1	+	559395	560212	CR615613
uc001abd.1	chr1	-	610958	611897	OR4F16
uc009vjm.1	chr1	-	651145	652037	DQ587965
uc001abe.2	chr1	-	653074	654579	DQ595736
uc001abg.1	chr1	-	654855	654916	DQ600587
uc001abh.1	chr1	-	654963	654995	DQ599872
uc001abi.1	chr1	-	658264	658342	DQ575786
