#hg19.knownCanonical.chrom	hg19.knownCanonical.chromStart	hg19.knownCanonical.chromEnd	hg19.knownCanonical.clusterId	hg19.knownCanonical.transcript	hg19.kgXref.geneSymbol
chr1	11873	14409	1	uc010nxq.1	DDX11L9
chr1	14361	19759	2	uc009viu.3	WASH7P
chr1	14406	29370	3	uc009viw.2	WASH7P
chr1	34610	36081	4	uc001aak.3	FAM138A
chr1	69090	70008	5	uc001aal.1	OR4F5
chr1	136697	140566	6	uc001aam.4	LOC729737
chr1	321083	321115	7	uc001aaq.2	DQ597235
chr1	321145	321207	8	uc001aar.2	DQ599768
chr1	322036	326938	9	uc009vjk.2	LOC100133331
chr1	327545	328439	10	uc021oei.1	LOC388312
chr1	367658	368597	11	uc010nxu.2	OR4F16
chr1	420205	421839	12	uc001aax.1	BC036251
chr1	566092	566115	13	uc021oej.1	JA429830
chr1	566134	566155	14	uc021oek.1	JA429831
chr1	566239	566263	15	uc021oel.1	JA429505
chr1	568843	568913	16	uc001abb.3	M37726
chr1	621095	622034	17	uc010nxv.2	OR4F16
chr1	661138	670994	18	uc009vjm.3	LOC100133331
chr1	668417	668479	19	uc001abi.2	DQ575786
chr1	668509	668541	20	uc001abj.3	DQ599872
chr1	671823	671885	21	uc010nxw.2	DQ575786
chr1	671915	671947	22	uc001abl.3	DQ599872
chr1	674239	679736	23	uc001abm.2	AK310751
chr1	700244	714068	24	uc001abo.3	LOC100288069
chr1	761585	762902	25	uc010nxx.2	LINC00115
chr1	763063	789740	26	uc001abr.1	LOC643837
chr1	803450	812182	27	uc001abt.4	FAM41C
chr1	846814	850328	28	uc001abu.1	AK056486
chr1	852952	854817	29	uc010nxy.1	LOC100130417
chr1	861120	879961	30	uc001abw.1	SAMD11
chr1	879582	894679	31	uc001abz.4	NOC2L
chr1	895966	901099	32	uc001aca.2	KLHL17
chr1	901876	910484	33	uc001acd.3	PLEKHN1
chr1	910578	917473	34	uc001ach.2	C1orf170
chr1	934341	935552	35	uc001aci.2	HES4
chr1	948846	949919	36	uc001acj.4	ISG15
chr1	955502	991499	37	uc001ack.2	AGRN
chr1	995116	1001833	38	uc001acl.1	BC033949
chr1	1007125	1009687	39	uc021oen.1	RNF223
chr1	1017197	1051736	40	uc001acu.2	C1orf159
chr1	1072396	1079434	41	uc001acv.3	LOC254099
chr1	1102483	1102578	42	uc001acw.2	MIR200B
chr1	1103242	1103332	43	uc010nye.1	MIR200A
chr1	1104384	1104467	44	uc010nyf.1	MIR429
chr1	1108435	1114935	45	uc001acx.1	AK128833
chr1	1109285	1133313	46	uc001acy.2	TTLL10
chr1	1138887	1142089	47	uc001adc.3	TNFRSF18
chr1	1146705	1149548	48	uc001ade.3	TNFRSF4
chr1	1152287	1167447	49	uc001adh.4	SDF4
chr1	1167628	1170420	50	uc001adk.3	B3GALT6
chr1	1177825	1182102	51	uc001adl.2	FAM132A
chr1	1189291	1209234	52	uc001ado.3	UBE2J2
chr1	1215815	1227409	53	uc001adt.1	SCNN1D
chr1	1227763	1243269	54	uc001aeb.2	ACAP3
chr1	1243993	1247057	55	uc001aed.3	PUSL1
chr1	1246964	1260046	56	uc001aee.1	CPSF3L
chr1	1260142	1264276	57	uc001aeo.3	GLTPD1
chr1	1266725	1269844	58	uc010nyk.2	TAS1R3
chr1	1270657	1284492	59	uc001aer.4	DVL1
