CTSK	chr1	149035310	149047436	12127	5214
A3GALT2	chr1	33544953	33559286	14334	7768
BC006361	chr1	690107	703869	13763	6437
OR2T35	chr1	246868210	246869182	973	515
BC087732	chr1	27297890	27299430	1541	913
AK309620	chr1	161060871	161092197	31327	12626
AY044167	chr1	11268832	11270572	1741	828
AK309744	chr1	43358405	43384545	26141	10583
TPM3	chr1	152394403	152431233	36831	16511
SNORD76	chr1	172102395	172102476	82	32
SRM	chr1	11037235	11042678	5444	3266
DKFZp686K01114	chr1	42774733	42833804	59072	23002
EU154352	chr1	206041489	206062671	21183	10694
KALI	chr1	158727054	158759666	32613	12716
CAPN2	chr1	221966741	222030343	63603	31144
TESK2	chr1	45582141	45729427	147287	62196
SNORD44	chr1	172101728	172101789	62	24
GPR3	chr1	27591738	27594904	3167	1836
ASB17	chr1	76157147	76170704	13558	4768
PPP2R5A	chr1	210525501	210601828	76328	29978
BCAS2	chr1	114911703	114925788	14086	5680
PHC2	chr1	33561810	33669202	107393	48344
DCST2	chr1	153257626	153272881	15256	8186
KIAA0962	chr1	15758607	15791459	32853	15500
RBM34	chr1	233361571	233424149	62579	26396
SLC2A7	chr1	8985945	9008991	23047	12085
BC016143	chr1	48430316	48718491	288176	114570
HDGF	chr1	154978522	155003341	24820	12744
NBPF10	chr1	16762998	146713672	129950675	45015871
FCGR1A	chr1	148020873	148030698	9826	4116
C1orf141	chr1	67330446	67373241	42796	16195
MYOG	chr1	201318879	201322000	3122	1817
GJC2	chr1	226404175	226414150	9976	6226
C1orf115	chr1	218930250	218939122	8873	4269
AK5	chr1	77520329	77798242	277914	110067
ARNT	chr1	149048809	149115810	67002	27596
CR597233	chr1	176327265	176329751	2487	1134
GJA8	chr1	145841559	145848017	6459	2922
RIPK5	chr1	203395756	203410266	14511	6312
BC063600	chr1	119484570	119495554	10985	4566
RUSC1	chr1	153557263	153567533	10271	5965
AK123199	chr1	114200779	114245382	44604	18065
AF379632	chr1	142873357	146668062	3794706	1420904
KIAA0673	chr1	5858600	5975118	116519	57602
KIAA0319L	chr1	35671677	35795591	123915	51761
ITLN1	chr1	159112953	159121584	8632	4099
EFNA1	chr1	153366972	153374010	7039	3786
LEPRE1	chr1	42984592	43005342	20751	10383
CD52	chr1	26516997	26519601	2605	1419
SIKE	chr1	115113627	115124831	11205	4136
RPS8	chr1	45013832	45016999	3168	1739
KIAA1614	chr1	179148935	179186545	37611	20374
BC037540	chr1	113355831	113417247	61417	27720
EDEM3	chr1	182926247	182990664	64418	22157
BAT2D1	chr1	169721289	169829273	107985	41358
SLC1A7	chr1	53325442	53380837	55396	29456
UTP11L	chr1	38250970	38263084	12115	5282
KIAA1556	chr1	226531963	226539315	7353	4520
DQ593937	chr1	85799679	85799703	25	8
CCNL2	chr1	1310953	1324553	13601	6984
NEGR1	chr1	71641212	72520993	879782	307216
FASLG	chr1	170894807	170902635	7829	3267
MSTP9	chr1	16954189	16963562	9374	4898
FMO6P	chr1	169373502	169397326	23825	9277
RNASEL	chr1	180809394	180825014	15621	6487
DKFZp434A1923	chr1	1236827	1249909	13083	7908
AK021767	chr1	2471372	2473405	2034	1187
AK022898	chr1	91067691	91089763	22073	9624
CR596789	chr1	54523673	54526415	2743	1409
GBP7	chr1	89370021	89414311	44291	16779
AK310441	chr1	147142663	147168747	26085	10003
AMIGO1	chr1	109850968	109853859	2892	1677
GNG5	chr1	84736593	84744850	8258	3359
TDRD10	chr1	152741318	152787247	45930	21832
BC094867	chr1	43937944	43945599	7656	3722
INTS7	chr1	210181320	210275507	94188	35918
GBP3	chr1	89244947	89261137	16191	6495
SEC16B	chr1	176164111	176258426	94316	40003
ODF2L	chr1	86586999	86634591	47593	16624
CALML6	chr1	1836125	1838593	2469	1558
